titolo,sottotitolo,autore,editore,anno_pubblicazione,ISBN10,ISBN13,formati,prezzo,prezzo_originale,stock,copertina_url,valutazione_media,numero_recensioni,categoria,tags,Descrizione
"Il Nome della Rosa","Edizione Speciale","Umberto Eco","Bompiani",1980,"8845207056","978-8845207051","Cartaceo|E-book",12.75,15.00,45,"https://picsum.photos/seed/1/400/600",4.8,1250,"Narrativa","Storico|Mistero","Un giallo medievale in un'abbazia isolata."
"1984","Edizione Integrale","George Orwell","Mondadori",1949,"8804668233","978-8804668237","Cartaceo|E-book|Audiobook",10.20,12.00,120,"https://picsum.photos/seed/2/400/600",4.9,3500,"Distopia","Politica|Classico","Il capolavoro sul controllo totale."
"Il Signore degli Anelli","La Compagnia dell'Anello","J.R.R. Tolkien","Bompiani",1954,"8845292614","978-8845292613","Cartaceo|Audiobook",21.25,25.00,30,"https://picsum.photos/seed/3/400/600",5.0,5000,"Fantasy","Epico|Avventura","L'inizio del viaggio di Frodo."
"Sapiens","Da animali a dèi","Yuval Noah Harari","Bompiani",2011,"8845296490","978-8845296499","Cartaceo|E-book",15.30,18.00,85,"https://picsum.photos/seed/4/400/600",4.7,2100,"Saggistica","Scienza|Storia","La storia dell'umanità spiegata."
"Il Codice da Vinci","","Dan Brown","Mondadori",2003,"8804523006","978-8804523000","Cartaceo|E-book",9.90,14.50,200,"https://picsum.photos/seed/5/400/600",4.2,15000,"Thriller","Mistero|Religione","Un omicidio al Louvre svela un segreto."
"L'Alchimista","","Paulo Coelho","Bompiani",1988,"8845265471","978-8845265471","Cartaceo|Audiobook",11.00,11.00,50,"https://picsum.photos/seed/6/400/600",4.5,8000,"Narrativa","Spirituale|Viaggio","Il viaggio verso le piramidi."
"Orgoglio e Pregiudizio","","Jane Austen","Einaudi",1813,"8806225436","978-8806225438","Cartaceo|E-book",8.50,10.00,15,"https://picsum.photos/seed/7/400/600",4.8,4200,"Classico","Romanzo|Amore","La storia di Elizabeth Bennet."
"Harry Potter 1","La Pietra Filosofale","J.K. Rowling","Salani",1997,"8867155956","978-8867155958","Cartaceo|E-book|Audiobook",13.60,16.00,300,"https://picsum.photos/seed/8/400/600",4.9,25000,"Fantasy","Magia|Ragazzi","Il ragazzo che è sopravvissuto."
"Il Piccolo Principe","","Antoine de Saint-Exupéry","Bompiani",1943,"8845296539","978-8845296536","Cartaceo",7.65,9.00,500,"https://picsum.photos/seed/9/400/600",4.9,12000,"Ragazzi","Poesia|Favola","Un pilota cade nel deserto."
"Moby Dick","La Balena Bianca","Herman Melville","Adelphi",1851,"8845915441","978-8845915444","Cartaceo|Audiobook",18.70,22.00,12,"https://picsum.photos/seed/10/400/600",4.5,900,"Classico","Avventura|Mare","La caccia folle del Capitano Achab."
"Don Chisciotte","","Miguel de Cervantes","Einaudi",1605,"8806223123","978-8806223120","Cartaceo",24.00,24.00,8,"https://picsum.photos/seed/11/400/600",4.6,1100,"Classico","Satira|Cavalleria","Le avventure del cavaliere errante."
"Guerra e Pace","","Lev Tolstoj","Garzanti",1869,"8811364512","978-8811364510","Cartaceo|E-book",19.55,23.00,20,"https://picsum.photos/seed/12/400/600",4.7,2100,"Classico","Storico|Russia","Le vicende di cinque famiglie ruse."
"Odissea","","Omero","Mondadori",-800,"8804685412","978-8804685410","Cartaceo|Audiobook",11.05,13.00,40,"https://picsum.photos/seed/13/400/600",4.8,3000,"Epica","Mitologia|Viaggio","Il ritorno di Ulisse a Itaca."
"Iliade","","Omero","Einaudi",-750,"8806235412","978-8806235415","Cartaceo",12.75,15.00,35,"https://picsum.photos/seed/14/400/600",4.7,2800,"Epica","Guerra|Mitologia","L'ira di Achille."
"Cime Tempestose","","Emily Brontë","Feltrinelli",1847,"8807900123","978-8807900120","Cartaceo|E-book",9.35,11.00,60,"https://picsum.photos/seed/15/400/600",4.6,3500,"Classico","Gotico|Amore","L'amore tormentato tra Heathcliff e Catherine."
"I Promessi Sposi","","Alessandro Manzoni","Mondadori",1827,"8804661234","978-8804661230","Cartaceo|Audiobook",13.00,13.00,100,"https://picsum.photos/seed/16/400/600",4.4,1500,"Classico","Storico|Italia","Renzo e Lucia contro Don Rodrigo."
"Il Processo","","Franz Kafka","Adelphi",1925,"8845912345","978-8845912340","Cartaceo|E-book",11.05,13.00,25,"https://picsum.photos/seed/17/400/600",4.7,1800,"Narrativa","Assurdo|Legge","Josef K. viene arrestato senza motivo."
"La Metamorfosi","","Franz Kafka","Garzanti",1915,"8811361234","978-8811361230","Cartaceo|E-book",7.00,7.00,80,"https://picsum.photos/seed/18/400/600",4.8,2500,"Narrativa","Assurdo|Famiglia","Gregor Samsa si sveglia trasformato in insetto."
"Delitto e Castigo","","Fëdor Dostoevskij","Einaudi",1866,"8806221234","978-8806221230","Cartaceo|Audiobook",15.30,18.00,40,"https://picsum.photos/seed/19/400/600",4.9,3200,"Classico","Psicologico|Russia","La colpa di Raskol'nikov."
"L'Idiota","","Fëdor Dostoevskij","Bompiani",1869,"8845212345","978-8845212340","Cartaceo",14.45,17.00,30,"https://picsum.photos/seed/20/400/600",4.7,1400,"Classico","Psicologico|Russia","Il Principe Myškin nella società russa."
"Fondazione","Il Ciclo delle Fondazioni","Isaac Asimov","Mondadori",1951,"8804712345","978-8804712340","Cartaceo|E-book",14.00,14.00,55,"https://picsum.photos/seed/21/400/600",4.9,2200,"Sci-Fi","Galattico|Storia","La psicostoria di Hari Seldon."
"Dune","Il primo libro","Frank Herbert","Fanucci",1965,"8834712345","978-8834712340","Cartaceo|E-book|Audiobook",17.00,20.00,90,"https://picsum.photos/seed/22/400/600",4.8,6000,"Sci-Fi","Spezia|Impero","Arrakis, il pianeta delle sabbie."
"Neuromante","","William Gibson","Mondadori",1984,"8804612345","978-8804612340","Cartaceo",12.75,15.00,40,"https://picsum.photos/seed/23/400/600",4.6,1100,"Sci-Fi","Cyberpunk|Hacker","Il manifesto del genere cyberpunk."
"Brave New World","Il Mondo Nuovo","Aldous Huxley","Mondadori",1932,"8804512345","978-8804512340","Cartaceo|E-book",11.05,13.00,65,"https://picsum.photos/seed/24/400/600",4.7,2500,"Distopia","Eugenetica|Futuro","Una società perfetta e senza dolore."
"Fahrenheit 451","","Ray Bradbury","Mondadori",1953,"8804412345","978-8804412340","Cartaceo|Audiobook",10.20,12.00,110,"https://picsum.photos/seed/25/400/600",4.8,4000,"Distopia","Libri|Censura","Il corpo dei pompieri che brucia libri."
"Il Grande Gatsby","","F. Scott Fitzgerald","Feltrinelli",1925,"8807812345","978-8807812340","Cartaceo|E-book",8.50,10.00,75,"https://picsum.photos/seed/26/400/600",4.6,5500,"Classico","Jazz|Sogno Americano","Il misterioso Jay Gatsby."
"Ulisse","","James Joyce","Mondadori",1922,"8804312345","978-8804312340","Cartaceo",21.25,25.00,15,"https://picsum.photos/seed/27/400/600",4.2,800,"Classico","Modernismo|Dublino","Una giornata nella vita di Leopold Bloom."
"La Divina Commedia","Edizione Illustrata","Dante Alighieri","Einaudi",1320,"8806112345","978-8806112340","Cartaceo|Audiobook",25.50,30.00,25,"https://picsum.photos/seed/28/400/600",5.0,9000,"Poesia","Aldilà|Teologia","Il viaggio di Dante tra i tre regni."
"Il Gattopardo","","Giuseppe Tomasi di Lampedusa","Feltrinelli",1958,"8807012345","978-8807012340","Cartaceo|E-book",11.90,14.00,45,"https://picsum.photos/seed/29/400/600",4.7,2100,"Narrativa","Sicilia|Risorgimento","Tutto cambia perché nulla cambi."
"Lo Hobbit","Un viaggio inaspettato","J.R.R. Tolkien","Bompiani",1937,"8845212346","978-8845212341","Cartaceo|E-book|Audiobook",13.60,16.00,150,"https://picsum.photos/seed/30/400/600",4.9,7500,"Fantasy","Avventura|Anello","Bilbo Baggins e i tredici nani."
"Il Trono di Spade","Libro Primo","George R.R. Martin","Mondadori",1996,"8804512346","978-8804512342","Cartaceo|E-book",17.00,20.00,130,"https://picsum.photos/seed/31/400/600",4.8,12000,"Fantasy","Politica|Intrigo","L'inverno sta arrivando."
"Anna Karenina","","Lev Tolstoj","Mondadori",1877,"8804412346","978-8804412342","Cartaceo|E-book",14.45,17.00,40,"https://picsum.photos/seed/32/400/600",4.8,3800,"Classico","Amore|Russia","Le famiglie felici si somigliano tutte."
"Il Maestro e Margherita","","Michail Bulgakov","Einaudi",1967,"8806112346","978-8806112341","Cartaceo|Audiobook",12.75,15.00,55,"https://picsum.photos/seed/33/400/600",4.9,4200,"Narrativa","Satira|Diavolo","Il Diavolo arriva nella Mosca sovietica."
"Il Vecchio e il Mare","","Ernest Hemingway","Mondadori",1952,"8804312346","978-8804312341","Cartaceo|E-book",10.20,12.00,200,"https://picsum.photos/seed/34/400/600",4.7,6000,"Narrativa","Lotta|Pesca","Santiago e la sua lotta con il marlin."
"Cent'anni di solitudine","","Gabriel García Márquez","Mondadori",1967,"8804212345","978-8804212340","Cartaceo|Audiobook",15.30,18.00,60,"https://picsum.photos/seed/35/400/600",4.9,8500,"Narrativa","Realismo Magico","La dinastia Buendía a Macondo."
"Dracula","","Bram Stoker","Garzanti",1897,"8811112345","978-8811112340","Cartaceo|E-book",9.35,11.00,70,"https://picsum.photos/seed/36/400/600",4.6,5000,"Horror","Vampiri|Gotico","Il conte Dracula dalla Transilvania a Londra."
"Frankenstein","","Mary Shelley","Mondadori",1818,"8804112345","978-8804112340","Cartaceo",8.50,10.00,85,"https://picsum.photos/seed/37/400/600",4.7,4800,"Horror","Scienza|Mostro","Victor Frankenstein e la sua creatura."
"Lo Straniero","","Albert Camus","Bompiani",1942,"8845211234","978-8845211230","Cartaceo|E-book",11.05,13.00,40,"https://picsum.photos/seed/38/400/600",4.8,3200,"Narrativa","Assurdo|Esistenza","Oggi è morta mamma."
"La Peste","","Albert Camus","Bompiani",1947,"8845211235","978-8845211231","Cartaceo|Audiobook",12.75,15.00,50,"https://picsum.photos/seed/39/400/600",4.7,2800,"Narrativa","Malattia|Resistenza","Orano colpita dall'epidemia."
"Siddharta","","Hermann Hesse","Adelphi",1922,"8845911234","978-8845911230","Cartaceo|E-book",10.00,10.00,120,"https://picsum.photos/seed/40/400/600",4.8,7500,"Narrativa","Spirituale|India","Il cammino verso l'illuminazione."
"Il Lupo della Steppa","","Hermann Hesse","Adelphi",1927,"8845911235","978-8845911231","Cartaceo",12.75,15.00,35,"https://picsum.photos/seed/41/400/600",4.6,1800,"Narrativa","Psicologia|Dualità","Harry Haller e la sua natura lupesca."
"Così parlò Zarathustra","Un libro per tutti e per nessuno","Friedrich Nietzsche","Adelphi",1883,"8845911236","978-8845911232","Cartaceo|E-book",15.30,18.00,25,"https://picsum.photos/seed/42/400/600",4.7,2500,"Filosofia","Oltreuomo|Morale","La morte di Dio e l'eterno ritorno."
"Critica della Ragion Pura","","Immanuel Kant","Laterza",1781,"8842011234","978-8842011230","Cartaceo",22.10,26.00,10,"https://picsum.photos/seed/43/400/600",4.5,600,"Filosofia","Conoscenza|Metafisica","I limiti dell'intelletto umano."
"Il Principe","","Niccolò Machiavelli","Einaudi",1532,"8806112347","978-8806112342","Cartaceo|Audiobook",9.35,11.00,90,"https://picsum.photos/seed/44/400/600",4.8,4000,"Saggistica","Politica|Potere","Il manuale del realismo politico."
"L'Arte della Guerra","","Sun Tzu","Feltrinelli",-500,"8807812346","978-8807812341","Cartaceo|E-book",7.65,9.00,150,"https://picsum.photos/seed/45/400/600",4.9,5500,"Saggistica","Strategia|Militare","Vincere senza combattere."
"Donne che corrono coi lupi","","Clarissa Pinkola Estés","Frassinelli",1992,"8876812345","978-8876812340","Cartaceo|E-book",17.00,20.00,65,"https://picsum.photos/seed/46/400/600",4.8,4200,"Saggistica","Psicologia|Femminile","Il mito della Donna Selvatica."
"L'interpretazione dei sogni","","Sigmund Freud","Bollati Boringhieri",1899,"8833912345","978-8833912340","Cartaceo|E-book",16.15,19.00,30,"https://picsum.photos/seed/47/400/600",4.7,1900,"Saggistica","Psicoanalisi|Sogni","La scoperta dell'inconscio."
"La Coscienza di Zeno","","Italo Svevo","Dall'Oglio",1923,"8804112346","978-8804112341","Cartaceo|E-book",11.05,13.00,50,"https://picsum.photos/seed/48/400/600",4.7,2800,"Classico","Psicologico|Fumo","L'inetto e la sua autoanalisi."
"Se questo è un uomo","","Primo Levi","Einaudi",1947,"8806112348","978-8806112343","Cartaceo|Audiobook",12.75,15.00,140,"https://picsum.photos/seed/49/400/600",5.0,15000,"Memorie","Shoah|Testimonianza","La sopravvivenza ad Auschwitz."
"La Storia","","Elsa Morante","Einaudi",1974,"8806112349","978-8806112344","Cartaceo",17.85,21.00,35,"https://picsum.photos/seed/50/400/600",4.8,3100,"Narrativa","Storico|Roma","Uno scandalo che dura da diecimila anni."